AQI,CO,PM10,PM25
121.8628808,255.8,83.8,67
127.6591102,246.9,93.8,75
138.2519843,257.8,103.8,83
144.1677059,268.7,103.8,83
150.6872741,279.5,108.8,87
152.7199177,280.9,110,88
153.3382965,282.3,107.5,86
153.4402043,283.6,106.3,85
152.1220795,255.4,100,80
151.8895706,227.2,102.5,82
152.2006844,199,105,84
151.3532511,187.1,97.5,78
151.9796092,175.3,105,84
151.1595696,163.4,93.8,75
149.6161896,197.8,91.3,73
133.5561485,232.3,71.3,57
130.4712184,266.7,81.3,65
124.3788211,256.8,71.3,57
114.9048841,246.9,65,52
108.4371705,236.9,62.5,50
99.52309802,218.5,56.3,45
92.49124365,200,53.8,43
87.06520147,181.5,51.3,41
86.52405372,173.5,53.8,43
91.18698023,165.5,60,48
96.79537578,157.6,65,52
98.98043362,190.3,65,52
96.37069136,222.9,57.5,46
97.12510147,255.6,62.5,50
99.492034,234.6,67.5,54
105.7246119,213.6,75,60
115.5320561,192.6,83.8,67
131.7409495,200.2,97.5,78
138.0424637,207.8,96.3,77
150.4875283,215.3,110,88
150.0462661,219.8,100,80
150.0287268,224.3,100,80
145.2695972,228.8,92.5,74
131.6208482,335.8,75,60
125.9481129,442.8,75,60
131.0566575,549.8,90,72
135.738295,469.6,95,76
133.4200195,389.5,83.8,67
128.5872685,309.3,76.3,61
111.5324086,272.2,58.8,47
103.8172521,235,58.8,47
100.2417651,197.8,57.5,46
95.4692748,191.2,56.3,45
96.23398347,184.6,60,48
106.9655756,178,78.8,63
128.2987519,189.7,102.5,82
132.8338502,201.3,91.3,73
118.7588175,213,63.8,51
110.2798742,197.8,62.5,50
108.642225,182.7,67.5,54
122.7987644,167.5,92.5,74
129.8228638,165.2,91.3,73
142.4936362,162.8,105,84
146.7676838,160.5,101.3,81
149.6628909,152.3,103.8,83
144.6856616,144.1,91.3,73
142.8037935,136,92.5,74
130.1672407,134.6,71.3,57
119.277816,133.3,65,52
157.5461364,131.9,152.5,122
144.6398046,138.9,78.8,63
124.8196988,145.9,66.3,53
104.9031339,152.9,51.3,41
90.93333333,150.2,47.5,38
83.45543346,147.5,47.5,38
81.71770452,144.7,50,40
80.84835165,144.1,50,40
81.41636142,143.6,51.3,41
78.6993895,143,47.5,38
67.34261294,156.2,35,28
72.66813187,169.4,48.8,39
75.31379731,182.7,48.8,39
79.34244652,181.5,52.5,42
85.94308816,180.3,60,48
98.61317977,179.2,68.8,55
104.5518926,169.2,70,56
118.9491249,159.3,87.5,70
117.8119658,149.4,75,60
102.2397232,153.3,52.5,42
82.34139194,157.2,38.8,31
67.16776557,161.1,32.5,26
67.58534799,192.6,42.5,34
75.79340659,224.1,52.5,42
87.8993895,255.6,62.5,50
103.2950753,235.2,75,60
123.3199023,214.8,95,76
130.8302808,194.3,91.3,73
111.2462352,181.1,56.3,45
99.74114774,167.9,53.8,43
75.86227106,154.7,32.5,26
68.92844933,151.2,38.8,31
51.46080586,147.7,21.3,17
38.72722833,144.1,16.3,13
35.35921856,154.1,20,16
34.67350427,164,21.3,17
34.32869353,173.9,21.3,17
36.15433455,173.5,23.8,19
35.06275946,173.1,21.3,17
32.51721612,172.7,18.8,15
46.25494505,167.7,37.5,30
57.12527473,162.6,42.5,34
62.56459096,157.6,42.5,34
63.28253968,158,40,32
64.64517705,158.4,41.3,33
65.32747253,158.7,41.3,33
67.66837607,179.4,43.8,35
72.83956044,200,48.8,39
81.42661783,220.6,56.3,45
83.71916972,216.9,53.8,43
92.86788767,213.2,63.8,51
84.42968113,209.5,47.5,38
78.90832384,191,43.8,35
86.06268081,172.6,61.3,49
80.0813296,154.1,43.8,35
58.4004884,153.1,23.8,19
41.195116,152.1,15,12
30.59194139,151.2,12.5,10
26.29010989,156.6,13.8,11
34.14065934,162,26.3,21
38.06446886,167.5,26.3,21
39.02661783,161.5,25,20
42.50647131,155.4,28.8,23
36.24761905,149.4,18.8,15
27.11746032,144.5,11.3,9
30.55091575,139.7,21.3,17
30.27057387,134.8,18.8,15
26.13333333,137.1,13.8,11
32.06837607,139.5,23.8,19
40.03760684,141.8,30,24
43.02173382,156.6,28.8,23
51.51306471,171.4,37.5,30
59.75970696,186.2,42.5,34
67.88424908,184.4,47.5,38
65.94432234,182.7,40,32
62.97582418,180.9,37.5,30
63.49352869,170.8,40,32
57.74896215,160.7,32.5,26
56.87765568,150.6,35,28
50.44151404,146.9,27.5,22
48.53316524,143.2,27.5,22
49.15197566,139.5,31.3,25
59.63104263,152.3,46.3,37
66.53280146,165.2,47.5,38
62.090763,178,35,28
58.67097236,180.1,33.8,27
64.28797765,182.3,45,36
67.54231964,184.4,45,36
71.1106229,182.9,47.5,38
68.96715214,181.3,41.3,33
71.94030905,179.7,47.5,38
72.82548406,180.7,46.3,37
70.78405215,181.7,42.5,34
69.95946698,182.7,42.5,34
68.18562529,199.8,40,32
71.13460305,216.9,48.8,39
76.93003749,234,53.8,43
95.20236439,233.1,72.5,58
80.17426429,232.1,38.8,31
80.09516645,231.1,50,40
74.46263274,215.5,42.5,34
91.01702847,200,68.8,55
76.28710275,184.4,37.5,30
51.98827839,181.1,17.5,14
46.99096459,177.8,26.3,21
48.49328449,174.5,31.3,25
46.24420024,183.4,27.5,22
43.11746032,192.4,25,20
46.55433455,201.3,31.3,25
57.27130647,212,42.5,34
64.63687424,222.7,45,36
71.31819292,233.4,48.8,39
58.65641026,223.7,28.8,23
55.32112332,214,32.5,26
55.66007326,204.3,35,28
53.91817206,201.5,32.5,26
58.83337865,198.8,40,32
65.25143332,196.1,45,36
75.73626374,278.2,53.8,43
68.80870237,360.3,38.8,31
68.43715567,442.4,42.5,34
75.67977141,439.1,52.5,42
71.17602084,435.8,41.3,33
75.28070763,432.4,50,40
76.79324208,350.9,50,40
75.70975801,269.4,46.3,37
74.25825199,187.9,45,36
92.32052931,179.2,71.3,57
84.8797452,170.4,47.5,38
84.48212578,161.7,52.5,42
61.24297924,172.2,23.8,19
54.61978022,182.7,30,24
51.30744811,193.2,30,24
50.64957265,197.6,31.3,25
61.32551893,202.1,45,36
55.65909646,206.6,31.3,25
71.83052503,198.4,55,44
70.91477411,190.3,43.8,35
70.45714286,182.1,43.8,35
73.22393162,184.8,47.5,38
76.61245421,187.5,50,40
74.3047619,190.3,45,36
78.67760832,287.9,52.5,42
84.04288057,385.6,56.3,45
113.5868946,483.2,92.5,74
112.6332926,604.8,71.3,57
113.8213268,726.4,73.8,59
113.5840456,848,72.5,58
114.2950753,811.4,73.8,59
121.3207163,774.8,83.8,67
124.8335368,738.3,83.8,67
124.9222629,672.7,81.3,65
122.4656085,607.1,77.5,62
123.5739006,541.6,81.3,65
125.3841941,526.2,83.8,67
126.4595039,510.8,87.5,70
124.4151221,495.5,77.5,62
114.2224577,419.2,57.5,46
113.3387266,343,71.3,57
107.5852921,266.7,60,48
110.1274776,244.5,73.8,59
111.768217,222.4,73.8,59
120.7455265,200.2,90,72
118.6539744,203.7,73.8,59
124.5818739,207.2,88.8,71
125.9421605,210.7,83.8,67
136.7626384,295.1,100,80
152.2714111,379.5,116.3,93
156.4957265,464,118.8,95
160.0381999,455.6,123.8,99
164.6663178,447.2,133.8,107
159.4839754,438.9,107.5,86
160.6863714,403.7,121.3,97
152.6909995,368.4,87.5,70
122.1371591,333.2,55,44
98.27643468,325.1,43.8,35
78.12796093,316.9,36.3,29
68.05470085,308.7,36.3,29
57.01343101,325.8,28.8,23
60.49181929,343,40,32
62.23052503,360.1,40,32
52.0962149,342.4,26.3,21
57.02954823,324.7,38.8,31
66.5030525,307,47.5,38
71.23711844,290.4,47.5,38
94.61587302,273.9,73.8,59
103.5925926,257.4,71.3,57
106.8005698,266.3,70,56
120.9088319,275.3,88.8,71
130.4635735,284.2,92.5,74
135.2421652,368.6,92.5,74
127.6271876,453.1,77.5,62
139.6568987,537.5,101.3,81
149.00814,470.8,106.3,85
142.01221,404,88.8,71
126.009768,337.3,70,56
102.1713472,279.2,46.3,37
83.2962149,221,40,32
71.64151404,162.8,37.5,30
47.81001221,143.8,15,12
43.89255189,124.7,25,20
41.93308913,105.6,25,20
43.95409035,123.1,28.8,23
38.96605617,140.6,21.3,17
48.47032967,158.2,36.3,29
60.22319902,165.7,45,36
64.1025641,173.3,42.5,34
67.04615385,180.9,43.8,35
66.52210012,174.3,41.3,33
61.26007326,167.7,35,28
90.63736264,161.1,75,60
79.32405372,163.4,42.5,34
85.66837607,165.7,57.5,46
89.84078144,168.1,58.8,47
79.92332112,188.9,43.8,35
84.96849817,209.7,56.3,45
90.48888889,230.5,60,48
79.24395604,217.1,42.5,34
66.62026862,203.7,33.8,27
58.30769231,190.3,31.3,25
54.15189255,171.2,31.3,25
51.07496947,152.1,30,24
52.52942613,133.1,33.8,27
46.26129426,125.9,25,20
44.12454212,118.7,26.3,21
44.05616606,111.5,27.5,22
46.02539683,136.6,30,24
46.00732601,161.7,28.8,23
45.98291526,186.8,28.8,23
47.1327581,184.8,31.3,25
50.60542879,182.9,36.3,29
59.78910492,180.9,43.8,35
65.44259101,177.6,45,36
77.38168498,174.3,55,44
84.6954823,171,57.5,46
83.35286935,171.6,51.3,41
78.68034188,172.2,46.3,37
71.34261294,172.7,40,32
68.67350427,230.7,41.3,33
72.34041514,288.7,47.5,38
73.11417063,346.7,46.3,37
81.16217674,306.4,58.8,47
81.34271533,266.1,52.5,42
79.65678457,225.9,47.5,38
77.21312992,191.4,45,36
74.85349374,157,43.8,35
67.96437253,122.6,36.3,29
61.47388433,117.1,33.8,27
55.55170361,111.7,31.3,25
52.94967041,106.2,31.3,25
52.50178041,122,32.5,26
56.00774141,137.7,37.5,30
60.68304688,153.5,41.3,33
65.67834867,170.2,46.3,37
79.59373724,186.9,58.8,47
99.38656899,203.7,73.8,59
108.0826211,208,75,60
113.2132682,212.2,76.3,61
114.1127391,216.5,73.8,59
112.8958079,218.1,71.3,57
118.956044,219.6,81.3,65
122.8196988,221.2,82.5,66
110.5811966,283.4,61.3,49
105.2946683,345.7,62.5,50
